propid,name,Feb,Mar,Apr,May,Jun,Jul,Aug
2020B-0053,DEBASS,42.50,42.50,42.50,42.50,42.50,42.50,42.5
2024A-755342,AGN,130.00,60.00,45.00,75.00,101.99,91.52,83.9
2024B-763968,YSE,83.52,92.59,101.37,107.67,110.63,109.20,100.8
2024B-441839,EtaCar,28.00,46.00,46.00,46.00,46.00,46.00,43.0
2025A-587063,Kleyna,0.00,7.76,39.21,27.07,46.36,64.06,30.7
2025A-697040,DEFSuS,44.10,69.84,70.58,61.36,69.54,69.56,64.2
2024A-718822,DOSC,112.00,124.16,156.85,123.63,123.32,0.00,106.7
2025A-729671,DESIRT,107.39,119.05,130.34,138.44,142.24,140.40,129.6
2025A-603790,dwarfs,0.00,0.00,15.68,15.34,18.54,43.01,15.4
2021B-0909,twilight,0.00,0.00,0.00,0.00,0.00,0.00,0.0
